   name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msnh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,ptm,tele,smon,smpd,smop,hi,res,phdt,op,pvt,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40 
UPMC/Sunbury Community Hospital,Behavioral Health,350 North 11th Street,,Sunbury,PA,17801,1611,Northumberland,570-286-3333,,570-286-3430,,http://www.chs.net,40.8617002,-76.7786187,MH,2018-07-25 10:14:25.46,1,1,,,,,,,,1,1,1,1,,1,1,1,1,,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,,,1,1,1,,,1,1,1,,,,1,1,1,,1,,1,1,,,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,,1,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Geisinger Medical Center,Behavioral Health,100 North Academy Avenue,,Danville,PA,17822,9800,Montour,570-271-6516,,570-271-6396,,http://www.geisinger.org,40.967891,-76.605062,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,,1,1,1,1,,1,,1,1,1,1,,,1,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCloskey Counseling Center,,205 Mill Street,,Milesburg,PA,16853,,Centre,814-357-2400,,,,http://,40.942939,-77.786641,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,,,1,1,,,,1,,,,,,1,,,,,,,,1,1,,,1,,,1,1,,,1,,,,1,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Comm Behavioral Hlth,Outpatient Centre,190 Match Factory Place,,Bellefonte,PA,16823,,Centre,814-353-3151,,888-520-8224,,http://www.themeadows.net,40.9083452,-77.7825542,MH,2018-03-30 14:07:47.624,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCERN Professional Services,Wellsboro Branch Office,62 Plaza Lane,,Wellsboro,PA,16901,,Tioga,570-724-7142,Intakes,570-724-7142 x1,,http://www.concern4kids.org,41.745414,-77.281077,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,,,,1,,1,1,,,,,1,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadows Psychiatric Center,Universal Community Behav Hlth,132 The Meadows Drive,,Centre Hall,PA,16828,,Centre,814-364-2161,,,800-641-7529,http://www.themeadows.net,40.8106495,-77.7125997,MH,2018-03-30 14:07:52.993,1,1,,,,,,,,1,1,1,1,,1,,1,1,,1,,,1,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,,,1,,,,,,1,,,1,1,,,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCERN Professional Services,Mansfield Branch Office,63 3rd Street,Suite 103,Mansfield,PA,16933,,Tioga,570-662-7600,,,,http://www.concern4kids.org,41.7998466,-77.0739397,MH,2018-03-01 12:40:45.126,1,,,,,,1,,,1,1,1,1,1,1,,1,1,,1,1,,1,,,,,1,,,,,,,,1,1,1,,1,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCERN Professional Services,Partial Hospitalization,1 Dorsett Drive,,Mansfield,PA,16933,,Tioga,570-724-7142,,570-524-7142,,http://www.concern4kids.org,41.8050586,-77.077929,MH,2017-02-27 11:25:37,1,,,,,1,,,,,,,1,,1,,,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomsburg Psychological Center LLC,,816 Central Road,,Bloomsburg,PA,17815,,Columbia,570-387-1832,,,,http://www.bpcenter.com,41.022339,-76.421679,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,,1,,1,,,,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPC Annex,,16 Sherwood Drive ,,Bloomsburg,PA,17815,,Columbia,570-387-1832,,,,http://,41.001877,-76.423372,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,,1,1,,,,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,1,,1,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,,,,,1,1,1,1,,,,,,,,1,1,1,,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Nittany Medical Center,Behavioral Health Unit,1800 East Park Avenue,,State College,PA,16803,6709,Centre,814-231-7000 x3153,Intakes,814-231-7000 x6177,814-231-7000 x6110,http://mountnittany.org,40.819363,-77.842727,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,1,1,,,1,,,1,,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Community Behav Health,Outpatient Services Mifflin County,25 Rothermel Drive,,Yeagertown,PA,17099,,Mifflin,717-248-8197,,888-520-8224,,http://www.themeadows.net,40.6351212,-77.5790276,MH,2018-03-30 14:08:28.704,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,1,1,1,,,,,,,1,1,,1,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Clinic,Pennsylvania State University,314 Moore Building,,University Park,PA,16802,3103,Centre,814-865-2191,,,,http://www.psych.la.psu.edu/psychological-clinic,40.798736,-77.868974,MH,2017-02-27 11:25:37,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,,1,1,1,1,,1,,,,1,,1,,1,1,,,,,,,,,,,1,,1,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Merakey Behavioral Health,,11 Anthra Plaza 148 State Route 2026,,Coal Township,PA,17866,,Northumberland,570-644-0808 x202,,570-644-0808,,http://nhsonline.org,40.7921916,-76.5216489,MH,2018-05-30 09:35:43.489,1,,,,,,1,,,1,1,1,1,1,,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick Hospital Center,Berwick BH Services for Older Adults,701 East 16th Street,,Berwick,PA,18603,,Columbia,570-759-5160,,,,http://www.berwickhospital.com,41.071132,-76.231772,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,1,1,1,,,,,1,,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,1,,,1,,1,,1,,,1,,,1,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Light Behavioral Health Sys,Towanda Campus,117 Vankuren Drive,P.O Box 179-B,Towanda,PA,18848,,Bradford,570-265-9872,Intakes,814-817-1372,800-345-1780,http://www.beacon-light.org,41.7963297,-76.4880314,MH,2018-03-30 14:08:22.444,1,,1,,,,,,,1,,1,1,1,1,,1,,,1,,1,,,,1,,,,,,,,,,1,1,,1,1,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCERN Professional Services,Towanda Branch Office,319 Main Street,,Towanda,PA,18848,,Bradford,570-268-3073,,,,http://www.concern4kids.org,41.767156,-76.443084,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,,1,1,,1,1,,1,,,,,1,,,,,,,,1,1,,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson Center Inc,,1 North Main Street ,3rd Floor,Coudersport,PA,16915,,Potter,814-274-8651,,,814-274-0977,http://www.dickinsoncenter.org,41.77328,-78.0217643,MH,2018-01-24 12:37:25.624,1,,,,,,,,1,1,1,1,1,1,,,1,,,1,1,,1,,,,,1,,,,,,,,1,1,1,1,1,,,1,,,,1,,1,,1,1,,,1,,,,,,,,,1,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cen Clear Child Services Inc,DBA CenClear,1633 Philipsburg Bigler Highway,,Philipsburg,PA,16866,,Centre,814-342-5845 x2511,Intakes,800-342-5845,814-342-5845,http://www.cenclear.org,40.909078,-78.24157,MH,2017-02-27 11:25:37,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,1,,,,,1,,,,,,,,1,1,1,1,1,1,,,1,,1,1,,,1,,,,,1,,,,1,1,1,,,1,1,,1,,1,,,,1,,,,,,1,1,,1,1,,,,,,,,1,,1,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Counseling Services,,121 South Prospect Street,,Nanticoke,PA,18634,2456,Luzerne,570-735-7590,,570-735-7590 x0,,http://www.northeastcounseling.org,41.203117,-76.002118,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,,,,,,,1,,,1,,,,,1,,,,,,,,1,1,1,,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,1,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
New Beginnings,,1851 West End Avenue,,Pottsville,PA,17901,,Schuylkill,570-622-9101,Intakes,570-622-9101 x0,570-773-3470 x0,http://,40.678233,-76.217686,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,,,,1,,1,,,,,,,,,,,1,,,,,1,,1,1,1,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon VAMC,Pottsville VA Outpatient Clinic,1410 Laurel Boulevard,Suite 2,Pottsville,PA,17901,,Schuylkill,570-628-5374,Intakes,800-409-8771,717-272-6621,http://www.lebanon.va.gov,40.6845568,-76.2112745,MH,2018-07-25 10:15:58.377,1,,,,,,,,,1,1,1,1,,1,1,1,,,1,1,,1,,,,,1,,1,,,,,,1,,1,,1,1,,,,,,,,,1,,1,,,1,,,,1,,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,,1,1,,1,,1,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Redco Group Behav Health Servs,Turning Point,16 South Centre Street,,Pottsville,PA,17901,,Schuylkill,570-628-5234,Intakes,570-628-5234 x114,570-628-5234 x0,http://www.redcogrp.com/,40.684894,-76.194255,MH,2017-02-27 11:25:37,1,,,,,,,,1,1,1,1,1,1,1,,1,,,1,1,,1,,,1,,1,,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh Valley Health/Schuylkill East,Senior Behavioral Health Unit,700 East Norwegian Street,,Pottsville,PA,17901,,Schuylkill,570-621-4060,Intakes,570-621-5673,570-621-4960,http://www.schuylkillhealth.com,40.6907205,-76.1885139,MH,2018-02-06 09:50:18.15,1,1,,,,,,,,1,,1,,,,,,1,,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,1,1,,,1,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Services Group,,2330 Vartan Way,Suite 204,Harrisburg,PA,17110,,Dauphin,877-907-7970,,,,http://www.csgonline.org/,40.3175044,-76.8548262,MH,2017-02-27 11:25:37,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,,1,,,1,,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,,1,,,,,1,,,,,,,,,,,1,,,,1,,1,,,,,1,,1,,,1,,1,,,,,,1,,,,1,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh Valley Hospital Schuylkill,,420 South Jackson Street,,Pottsville,PA,17901,3625,Schuylkill,570-621-5000 x5529,Intakes,570-621-5500,570-621-5673,http://www.schuylkillhealth.com,40.6839222,-76.1882083,MH,2018-01-24 13:50:34.859,1,1,,,,,,,,1,,1,1,,,,,1,,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,,1,1,,,,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,,1,,1,1,1,,1,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Merakey Pennsylvania,,703 South Elmer Avenue,Suite 115,Sayre,PA,18840,,Bradford,570-888-0051,,,,http://www.nhsonline.org,41.9737816,-76.517626,MH,2018-05-08 14:02:20.652,1,,,,,,,,1,,,,1,,1,,1,,,,,,1,,,,,1,,,,,,,,,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Packer Hospital,,1 Guthrie Square,,Sayre,PA,18840,,Bradford,570-888-6666 x5120,,570-887-6550,,http://,41.9872,-76.5338,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,,1,1,1,1,1,1,1,,1,,1,,,1,,1,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,,,1,,,,1,1,1,,,,,1,1,,1,1,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Services of Chemung Cnty Inc,Adult Mental Health Servs Clinic Sa,310 Pennsylvania Avenue,,Elmira,NY,14904,,Chemung,607-737-2490,,,607-733-5696,http://www.familyservicesofchemung.com,42.0835206,-76.8011357,MH,2018-03-30 13:54:31.746,1,,,,,,1,,,1,1,1,1,1,,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,,1,,,,,1,,,,1,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,1,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Light Behavioral Health Sys,,6395 Clearfield Woodland Highway,Suite 3,Clearfield,PA,16830,,Clearfield,814-205-4014,,,,http://www.beacon-light.org,41.014378,-78.400816,MH,2018-03-30 14:07:53.816,1,,,,,,1,,,1,1,1,1,1,1,,1,1,,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmira Psychiatric Center,EPC Child and Yth Outpt Serv,414 Davis Street,,Elmira,NY,14901,,Chemung,607-733-2901,,,,http://,42.0909698,-76.8145199,MH,2018-03-30 13:54:30.69,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,,1,,,,1,,,,1,1,1,1,1,,1,,,1,1,1,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,1,,1,,1,,,,,,1,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrueNorth Wellness Services,,5351-C Jaycee Avenue,Suite 1,Harrisburg,PA,17112,,Dauphin,717-657-2080,Intakes,800-315-0951,717-632-4900,http://www.truenorthwellness.org,40.317377,-76.798331,MH,2018-03-26 10:20:35.042,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,1,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Family Services of Chemung Cnty Inc,Eastside Family Medicine Satellite,200 Madison Avenue,Suite 2-B,Elmira,NY,14901,,Chemung,607-732-1310,,,607-733-5696,http://www.familyservicesofchemung.com/,42.0912263,-76.7984768,MH,2018-03-30 13:54:34.079,1,,,,,,1,,,1,1,,1,,,,,,,,,1,,,,,,1,,,,,,,,1,1,1,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmira Psychiatric Center,EPC Community Clinic,100 Washington Street,,Elmira,NY,14901,,Chemung,607-737-4711,,607-737-4800,,http://www.omh.ny.gov,42.090643,-76.794984,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,,1,1,1,,,1,,,1,,1,,,,,,1,,,1,,,,,1,1,1,1,1,,1,,,1,1,1,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,1,,,1,1,1,1,1,1,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnot Health Saint Josephs Hospital,Behavioral Science Unit,555 Saint Josephs Boulevard,Unit C-1,Elmira,NY,14901,,Chemung,607-733-6541,,,,http://,42.09213,-76.79721,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,,1,1,1,1,1,1,,,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Services of Chemung Cnty Inc,Chemung County Crisis Program,1019 East Water Street,,Elmira,NY,14901,,Chemung,607-733-5696,,,,http://www.familyservicesofchemung.com,42.090206,-76.789385,MH,2018-03-30 13:54:32.934,1,,,,,,1,,,1,1,,1,,,,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,,1,1,1,1,,,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Guidance Center,,600 Leonard Street,,Clearfield,PA,16830,,Clearfield,814-765-5337,Intakes,814-371-1100,888-686-1991,http://www.thecgc.com,41.021645,-78.4112339,MH,2017-02-27 11:25:37,1,,,,,,,1,,1,1,1,1,1,1,,1,1,,1,1,,1,,,,,1,,,,,,,,1,1,1,,1,,,,,,,1,1,1,,,,1,1,1,,,,1,,,,,1,1,,1,1,1,,,,,,,1,1,1,1,,,,1,1,1,,,,,1,1,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
