County Name,County Code Number,State FIPS Code,County FIPS Code,County Code,Latitude/Longitude,New Diagnoses HIV Disease Count,New Diagnoses HIV Disease Description,Prevalence HIV Disease Count ,Prevalence HIV Disease Description ,New Diagnoses HIV Disease Among IDU Count ,New Diagnoses HIV Disease Among IDU Description ,Prevalence HIV Disease Among IDU Count,Prevalence HIV Disease Among IDU Description,Year
Cambria,11,42,021,11,"(40.4912749067, -78.7189417385)",5,Individuals with New Diagnoses HIV Disease,125,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,33,Individuals with  Prevalence HIV Disease Among IDU,2015
Cambria,11,42,021,11,"(40.4912749067, -78.7189417385)",10,Individuals with New Diagnoses HIV Disease,119,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,34,Individuals with Prevalence HIV Disease Among IDU,2012
Cambria,11,42,021,11,"(40.4912749067, -78.7189417385)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,122,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,34,Individuals with  Prevalence HIV Disease Among IDU,2013
Cambria,11,42,021,11,"(40.4912749067, -78.7189417385)",6,Individuals with New Diagnoses HIV Disease,125,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,34,Individuals with  Prevalence HIV Disease Among IDU,2014
Cameron,12,42,023,12,"(41.4388026531, -78.2091693241)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,,Non Report. Suppressed count for Individuals Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2012
Cameron,12,42,023,12,"(41.4388026531, -78.2091693241)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,,Non Report. Suppressed count for Individuals Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2013
Cameron,12,42,023,12,"(41.4388026531, -78.2091693241)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,,Non Report. Suppressed count for Individuals Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2014
Cameron,12,42,023,12,"(41.4388026531, -78.2091693241)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,,Non Report. Suppressed count for Individuals Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2015
Cameron,12,42,023,12,"(41.4388026531, -78.2091693241)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,,Non Report. Suppressed count for Individuals Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2016
Carbon,13,42,025,13,"(40.9193670081, -75.7110703866)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,71,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with  Prevalence HIV Disease Among IDU,2013
Carbon,13,42,025,13,"(40.9193670081, -75.7110703866)",7,Individuals with New Diagnoses HIV Disease,74,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with Prevalence HIV Disease Among IDU,2012
Carbon,13,42,025,13,"(40.9193670081, -75.7110703866)",7,Individuals with New Diagnoses HIV Disease,76,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with Prevalence HIV Disease Among IDU,2014
Carbon,13,42,025,13,"(40.9193670081, -75.7110703866)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,78,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with Prevalence HIV Disease Among IDU,2015
Carbon,13,42,025,13,"(40.9193670081, -75.7110703866)",5,Individuals with New Diagnoses HIV Disease,83,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,16,Individuals with  Prevalence HIV Disease Among IDU,2016
Centre,14,42,027,14,"(40.9193135008, -77.8250011212)",8,Individuals with New Diagnoses HIV Disease,159,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,48,Individuals with Prevalence HIV Disease Among IDU,2012
Centre,14,42,027,14,"(40.9193135008, -77.8250011212)",8,Individuals with New Diagnoses HIV Disease,167,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,49,Individuals with  Prevalence HIV Disease Among IDU,2013
Centre,14,42,027,14,"(40.9193135008, -77.8250011212)",5,Individuals with New Diagnoses HIV Disease,171,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,49,Individuals with Prevalence HIV Disease Among IDU,2014
Centre,14,42,027,14,"(40.9193135008, -77.8250011212)",8,Individuals with New Diagnoses HIV Disease,176,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,49,Individuals with  Prevalence HIV Disease Among IDU,2015
Centre,14,42,027,14,"(40.9193135008, -77.8250011212)",12,Individuals with New Diagnoses HIV Disease,184,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,50,Individuals with Prevalence HIV Disease Among IDU,2016
Chester,15,42,029,15,"(39.9748705566, -75.7562649818)",21,Individuals with New Diagnoses HIV Disease,521,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,131,Individuals with Prevalence HIV Disease Among IDU,2014
Chester,15,42,029,15,"(39.9748705566, -75.7562649818)",14,Individuals with New Diagnoses HIV Disease,531,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,131,Individuals with  Prevalence HIV Disease Among IDU,2015
Chester,15,42,029,15,"(39.9748705566, -75.7562649818)",18,Individuals with New Diagnoses HIV Disease,544,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,131,Individuals with Prevalence HIV Disease Among IDU,2016
Chester,15,42,029,15,"(39.9748705566, -75.7562649818)",19,Individuals with New Diagnoses HIV Disease,510,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,135,Individuals with Prevalence HIV Disease Among IDU,2013
Chester,15,42,029,15,"(39.9748705566, -75.7562649818)",34,Individuals with New Diagnoses HIV Disease,507,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,138,Individuals with  Prevalence HIV Disease Among IDU,2012
Clarion,16,42,031,16,"(41.1927912877, -79.4248360769)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,21,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with  Prevalence HIV Disease Among IDU,2012
Clarion,16,42,031,16,"(41.1927912877, -79.4248360769)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,21,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with Prevalence HIV Disease Among IDU,2013
Clarion,16,42,031,16,"(41.1927912877, -79.4248360769)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,21,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with  Prevalence HIV Disease Among IDU,2014
Clarion,16,42,031,16,"(41.1927912877, -79.4248360769)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,22,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with Prevalence HIV Disease Among IDU,2015
Clarion,16,42,031,16,"(41.1927912877, -79.4248360769)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,22,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with  Prevalence HIV Disease Among IDU,2016
Clearfield,17,42,033,17,"(41.0004290024, -78.4755834299)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,71,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,28,Individuals with Prevalence HIV Disease Among IDU,2016
Clearfield,17,42,033,17,"(41.0004290024, -78.4755834299)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,72,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,29,Individuals with Prevalence HIV Disease Among IDU,2015
Clearfield,17,42,033,17,"(41.0004290024, -78.4755834299)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,65,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,31,Individuals with Prevalence HIV Disease Among IDU,2012
Clearfield,17,42,033,17,"(41.0004290024, -78.4755834299)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,65,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,31,Individuals with  Prevalence HIV Disease Among IDU,2013
Clearfield,17,42,033,17,"(41.0004290024, -78.4755834299)",6,Individuals with New Diagnoses HIV Disease,70,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,31,Individuals with  Prevalence HIV Disease Among IDU,2014
Clinton,18,42,035,18,"(41.2328627374, -77.6428376046)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,13,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2012
Clinton,18,42,035,18,"(41.2328627374, -77.6428376046)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,13,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2013
Clinton,18,42,035,18,"(41.2328627374, -77.6428376046)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,14,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2014
Clinton,18,42,035,18,"(41.2328627374, -77.6428376046)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,14,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2015
Clinton,18,42,035,18,"(41.2328627374, -77.6428376046)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,15,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2016
Columbia,19,42,037,19,"(41.0491208559, -76.4100217975)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,58,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,18,Individuals with Prevalence HIV Disease Among IDU,2012
Columbia,19,42,037,19,"(41.0491208559, -76.4100217975)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,58,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,18,Individuals with  Prevalence HIV Disease Among IDU,2013
Columbia,19,42,037,19,"(41.0491208559, -76.4100217975)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,59,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,18,Individuals with Prevalence HIV Disease Among IDU,2014
Columbia,19,42,037,19,"(41.0491208559, -76.4100217975)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,60,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,18,Individuals with  Prevalence HIV Disease Among IDU,2015
Columbia,19,42,037,19,"(41.0491208559, -76.4100217975)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,61,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,18,Individuals with Prevalence HIV Disease Among IDU,2016
Crawford,20,42,039,20,"(41.6854690692, -80.1132108295)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,62,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,17,Individuals with  Prevalence HIV Disease Among IDU,2013
Crawford,20,42,039,20,"(41.6854690692, -80.1132108295)",5,Individuals with New Diagnoses HIV Disease,63,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,17,Individuals with  Prevalence HIV Disease Among IDU,2012
Crawford,20,42,039,20,"(41.6854690692, -80.1132108295)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,64,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,17,Individuals with Prevalence HIV Disease Among IDU,2014
Crawford,20,42,039,20,"(41.6854690692, -80.1132108295)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,65,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,17,Individuals with  Prevalence HIV Disease Among IDU,2015
Crawford,20,42,039,20,"(41.6854690692, -80.1132108295)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,68,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,17,Individuals with Prevalence HIV Disease Among IDU,2016
