State Name,FIPS State Code,Calendar Year,Calendar Month,Month Name,Date,County Code,FIPS County Code,County Name,MA Individuals,MA Children,State Fiscal Year
PA,42,2008,4,April,4/1/2008 0:00,0,0,Statewide,1946605,991804,FY 2007-2008
PA,42,2008,5,May,5/1/2008 0:00,0,0,Statewide,1955604,994786,FY 2007-2008
PA,42,2008,6,June,6/1/2008 0:00,0,0,Statewide,1952383,992059,FY 2007-2008
PA,42,2008,7,July,7/1/2008 0:00,0,0,Statewide,1956781,993591,FY 2008-2009
PA,42,2008,8,August,8/1/2008 0:00,0,0,Statewide,1972850,1001429,FY 2008-2009
PA,42,2008,9,September,9/1/2008 0:00,0,0,Statewide,1980761,1005268,FY 2008-2009
PA,42,2008,10,October,10/1/2008 0:00,0,0,Statewide,1992046,1010404,FY 2008-2009
PA,42,2008,11,November,11/1/2008 0:00,0,0,Statewide,2001054,1013706,FY 2008-2009
PA,42,2008,12,December,12/1/2008 0:00,0,0,Statewide,2009340,1016800,FY 2008-2009
PA,42,2009,1,January,1/1/2009 0:00,0,0,Statewide,2022583,1021680,FY 2008-2009
PA,42,2009,2,February,2/1/2009 0:00,0,0,Statewide,2038900,1030935,FY 2008-2009
PA,42,2009,3,March,3/1/2009 0:00,0,0,Statewide,2059462,1043044,FY 2008-2009
PA,42,2009,4,April,4/1/2009 0:00,0,0,Statewide,2059168,1043337,FY 2008-2009
PA,42,2009,5,May,5/1/2009 0:00,0,0,Statewide,2068414,1047519,FY 2008-2009
PA,42,2009,6,June,6/1/2009 0:00,0,0,Statewide,2077301,1051344,FY 2008-2009
PA,42,2009,7,July,7/1/2009 0:00,0,0,Statewide,2083389,1055349,FY 2009-2010
PA,42,2009,8,August,8/1/2009 0:00,0,0,Statewide,2110698,1070432,FY 2009-2010
PA,42,2009,9,September,9/1/2009 0:00,0,0,Statewide,2114380,1071832,FY 2009-2010
PA,42,2009,10,October,10/1/2009 0:00,0,0,Statewide,2136334,1083036,FY 2009-2010
PA,42,2009,11,November,11/1/2009 0:00,0,0,Statewide,2130149,1079750,FY 2009-2010
PA,42,2009,12,December,12/1/2009 0:00,0,0,Statewide,2123174,1075320,FY 2009-2010
PA,42,2010,1,January,1/1/2010 0:00,0,0,Statewide,2143140,1084877,FY 2009-2010
PA,42,2010,2,February,2/1/2010 0:00,0,0,Statewide,2147130,1087196,FY 2009-2010
PA,42,2010,3,March,3/1/2010 0:00,0,0,Statewide,2184246,1106879,FY 2009-2010
PA,42,2010,4,April,4/1/2010 0:00,0,0,Statewide,2180090,1103929,FY 2009-2010
PA,42,2010,5,May,5/1/2010 0:00,0,0,Statewide,2193582,1108488,FY 2009-2010
PA,42,2010,6,June,6/1/2010 0:00,0,0,Statewide,2194361,1106638,FY 2009-2010
PA,42,2010,7,July,7/1/2010 0:00,0,0,Statewide,2223452,1119997,FY 2010-2011
PA,42,2010,8,August,8/1/2010 0:00,0,0,Statewide,2236299,1124878,FY 2010-2011
PA,42,2010,9,September,9/1/2010 0:00,0,0,Statewide,2219392,1115616,FY 2010-2011
PA,42,2010,10,October,10/1/2010 0:00,0,0,Statewide,2238902,1124531,FY 2010-2011
PA,42,2010,11,November,11/1/2010 0:00,0,0,Statewide,2250188,1129425,FY 2010-2011
PA,42,2010,12,December,12/1/2010 0:00,0,0,Statewide,2255181,1130833,FY 2010-2011
PA,42,2011,1,January,1/1/2011 0:00,0,0,Statewide,2264663,1133275,FY 2010-2011
PA,42,2011,2,February,2/1/2011 0:00,0,0,Statewide,2270369,1133972,FY 2010-2011
PA,42,2011,3,March,3/1/2011 0:00,0,0,Statewide,2298582,1148329,FY 2010-2011
PA,42,2011,4,April,4/1/2011 0:00,0,0,Statewide,2310026,1153488,FY 2010-2011
PA,42,2011,5,May,5/1/2011 0:00,0,0,Statewide,2306596,1149302,FY 2010-2011
PA,42,2011,6,June,6/1/2011 0:00,0,0,Statewide,2312862,1150362,FY 2010-2011
PA,42,2011,7,July,7/1/2011 0:00,0,0,Statewide,2331009,1159605,FY 2011-2012
PA,42,2011,8,August,8/1/2011 0:00,0,0,Statewide,2333807,1161135,FY 2011-2012
PA,42,2011,9,September,9/1/2011 0:00,0,0,Statewide,2302066,1143169,FY 2011-2012
PA,42,2011,10,October,10/1/2011 0:00,0,0,Statewide,2271176,1140617,FY 2011-2012
PA,42,2011,11,November,11/1/2011 0:00,0,0,Statewide,2196953,1117732,FY 2011-2012
PA,42,2011,12,December,12/1/2011 0:00,0,0,Statewide,2181399,1073064,FY 2011-2012
PA,42,2012,1,January,1/1/2012 0:00,0,0,Statewide,2190397,1072181,FY 2011-2012
PA,42,2012,2,February,2/1/2012 0:00,0,0,Statewide,2199245,1076502,FY 2011-2012
PA,42,2012,3,March,3/1/2012 0:00,0,0,Statewide,2201116,1076738,FY 2011-2012
PA,42,2012,4,April,4/1/2012 0:00,0,0,Statewide,2195229,1072684,FY 2011-2012
PA,42,2012,5,May,5/1/2012 0:00,0,0,Statewide,2202107,1075234,FY 2011-2012
PA,42,2012,6,June,6/1/2012 0:00,0,0,Statewide,2192953,1069715,FY 2011-2012
PA,42,2012,7,July,7/1/2012 0:00,0,0,Statewide,2200775,1074581,FY 2012-2013
PA,42,2012,8,August,8/1/2012 0:00,0,0,Statewide,2199885,1075134,FY 2012-2013
PA,42,2012,9,September,9/1/2012 0:00,0,0,Statewide,2185804,1069753,FY 2012-2013
PA,42,2012,10,October,10/1/2012 0:00,0,0,Statewide,2188180,1068397,FY 2012-2013
PA,42,2012,11,November,11/1/2012 0:00,0,0,Statewide,2175817,1062986,FY 2012-2013
PA,42,2012,12,December,12/1/2012 0:00,0,0,Statewide,2177597,1065270,FY 2012-2013
PA,42,2013,1,January,1/1/2013 0:00,0,0,Statewide,2191332,1072804,FY 2012-2013
PA,42,2013,2,February,2/1/2013 0:00,0,0,Statewide,2191973,1072970,FY 2012-2013
PA,42,2013,3,March,3/1/2013 0:00,0,0,Statewide,2196874,1075703,FY 2012-2013
PA,42,2013,4,April,4/1/2013 0:00,0,0,Statewide,2202382,1078161,FY 2012-2013
PA,42,2013,5,May,5/1/2013 0:00,0,0,Statewide,2198237,1076055,FY 2012-2013
PA,42,2013,6,June,6/1/2013 0:00,0,0,Statewide,2190971,1070852,FY 2012-2013
PA,42,2013,7,July,7/1/2013 0:00,0,0,Statewide,2203479,1075764,FY 2013-2014
PA,42,2013,8,August,8/1/2013 0:00,0,0,Statewide,2198861,1072723,FY 2013-2014
PA,42,2013,9,September,9/1/2013 0:00,0,0,Statewide,2192148,1068339,FY 2013-2014
PA,42,2013,10,October,10/1/2013 0:00,0,0,Statewide,2207082,1076920,FY 2013-2014
PA,42,2013,11,November,11/1/2013 0:00,0,0,Statewide,2206507,1075357,FY 2013-2014
PA,42,2013,12,December,12/1/2013 0:00,0,0,Statewide,2206902,1076309,FY 2013-2014
PA,42,2014,1,January,1/1/2014 0:00,0,0,Statewide,2208461,1077808,FY 2013-2014
PA,42,2014,2,February,2/1/2014 0:00,0,0,Statewide,2210693,1079604,FY 2013-2014
PA,42,2014,3,March,3/1/2014 0:00,0,0,Statewide,2237211,1094716,FY 2013-2014
PA,42,2014,4,April,4/1/2014 0:00,0,0,Statewide,2253206,1104751,FY 2013-2014
PA,42,2014,5,May,5/1/2014 0:00,0,0,Statewide,2248382,1104425,FY 2013-2014
PA,42,2014,6,June,6/1/2014 0:00,0,0,Statewide,2240971,1103336,FY 2013-2014
PA,42,2014,7,July,7/1/2014 0:00,0,0,Statewide,2251385,1120006,FY 2014-2015
PA,42,2014,8,August,8/1/2014 0:00,0,0,Statewide,2248843,1121544,FY 2014-2015
PA,42,2014,9,September,9/1/2014 0:00,0,0,Statewide,2260095,1129244,FY 2014-2015
PA,42,2014,10,October,10/1/2014 0:00,0,0,Statewide,2264683,1133477,FY 2014-2015
PA,42,2014,11,November,11/1/2014 0:00,0,0,Statewide,2251811,1129623,FY 2014-2015
PA,42,2014,12,December,12/1/2014 0:00,0,0,Statewide,2256192,1133661,FY 2014-2015
PA,42,2015,1,January,1/1/2015 0:00,0,0,Statewide,2344722,1144938,FY 2014-2015
PA,42,2015,2,February,2/1/2015 0:00,0,0,Statewide,2395527,1150409,FY 2014-2015
PA,42,2015,3,March,3/1/2015 0:00,0,0,Statewide,2464653,1163740,FY 2014-2015
PA,42,2015,4,April,4/1/2015 0:00,0,0,Statewide,2506704,1169528,FY 2014-2015
PA,42,2015,5,May,5/1/2015 0:00,0,0,Statewide,2537427,1172995,FY 2014-2015
PA,42,2015,6,June,6/1/2015 0:00,0,0,Statewide,2569794,1178260,FY 2014-2015
PA,42,2015,7,July,7/1/2015 0:00,0,0,Statewide,2592693,1181348,FY 2015-2016
PA,42,2015,8,August,8/1/2015 0:00,0,0,Statewide,2611818,1184357,FY 2015-2016
PA,42,2015,9,September,9/1/2015 0:00,0,0,Statewide,2635294,1189160,FY 2015-2016
PA,42,2015,10,October,10/1/2015 0:00,0,0,Statewide,2650622,1190690,FY 2015-2016
PA,42,2015,11,November,11/1/2015 0:00,0,0,Statewide,2661843,1189250,FY 2015-2016
PA,42,2015,12,December,12/1/2015 0:00,0,0,Statewide,2696112,1194733,FY 2015-2016
PA,42,2016,1,January,1/1/2016 0:00,0,0,Statewide,2711066,1194929,FY 2015-2016
PA,42,2016,2,February,2/1/2016 0:00,0,0,Statewide,2727218,1197868,FY 2015-2016
PA,42,2016,3,March,3/1/2016 0:00,0,0,Statewide,2752820,1204758,FY 2015-2016
PA,42,2016,4,April,4/1/2016 0:00,0,0,Statewide,2752946,1202000,FY 2015-2016
PA,42,2016,5,May,5/1/2016 0:00,0,0,Statewide,2765510,1204157,FY 2015-2016
PA,42,2016,6,June,6/1/2016 0:00,0,0,Statewide,2772011,1204763,FY 2015-2016
PA,42,2016,7,July,7/1/2016 0:00,0,0,Statewide,2779675,1205204,FY 2016-2017
PA,42,2016,8,August,8/1/2016 0:00,0,0,Statewide,2798529,1210508,FY 2016-2017
PA,42,2016,9,September,9/1/2016 0:00,0,0,Statewide,2804061,1210827,FY 2016-2017
PA,42,2016,10,October,10/1/2016 0:00,0,0,Statewide,2804943,1208907,FY 2016-2017
PA,42,2016,11,November,11/1/2016 0:00,0,0,Statewide,2814173,1209570,FY 2016-2017
PA,42,2016,12,December,12/1/2016 0:00,0,0,Statewide,2829660,1211377,FY 2016-2017
PA,42,2017,1,January,1/1/2017 0:00,0,0,Statewide,2850991,1215938,FY 2016-2017
PA,42,2017,2,February,2/1/2017 0:00,0,0,Statewide,2857966,1217460,FY 2016-2017
PA,42,2017,3,March,3/1/2017 0:00,0,0,Statewide,2858630,1217363,FY 2016-2017
PA,42,2017,4,April,4/1/2017 0:00,0,0,Statewide,2853225,1214612,FY 2016-2017
PA,42,2017,5,May,5/1/2017 0:00,0,0,Statewide,2857685,1215970,FY 2016-2017
PA,42,2017,6,June,6/1/2017 0:00,0,0,Statewide,2854064,1214545,FY 2016-2017
PA,42,2017,7,July,7/1/2017 0:00,0,0,Statewide,2852494,1213383,FY 2017-2018
PA,42,2017,8,August,8/1/2017 0:00,0,0,Statewide,2869245,1220025,FY 2017-2018
PA,42,2017,9,September,9/1/2017 0:00,0,0,Statewide,2865215,1218862,FY 2017-2018
PA,42,2017,10,October,10/1/2017 0:00,0,0,Statewide,2876194,1222777,FY 2016-2017
PA,42,2017,11,November,11/1/2017 0:00,0,0,Statewide,2886224,1224341,FY 2016-2017
PA,42,2017,12,December,12/1/2017 0:00,0,0,Statewide,2887989,1222061,FY 2016-2017
PA,42,2018,1,January,1/1/2018 0:00,0,0,Statewide,2906959,1228592,FY 2017-2018
PA,42,2018,2,February,2/1/2018 0:00,0,0,Statewide,2908088,1228922,FY 2017-2018
PA,42,2018,3,March,3/1/2018 0:00,0,0,Statewide,2902616,1227077,FY 2017-2018
PA,42,2018,4,April,4/1/2018 0:00,0,0,Statewide,2879239,1221768,FY 2017-2018
PA,42,2018,5,May,5/1/2018 0:00,0,0,Statewide,2908017,1230400,FY 2017-2018
PA,42,2018,6,June,6/1/2018 0:00,0,0,Statewide,2892070,1225540,FY 2017-2018
PA,42,2018,7,July,7/1/2018 0:00,0,0,Statewide,2894860,1227716,FY 2018-2019
PA,42,2003,7,July,7/1/2003 0:00,1,1,Adams,7305,4159,FY 2003-2004
PA,42,2003,8,August,8/1/2003 0:00,1,1,Adams,7393,4206,FY 2003-2004
PA,42,2003,9,September,9/1/2003 0:00,1,1,Adams,7455,4278,FY 2003-2004
PA,42,2003,10,October,10/1/2003 0:00,1,1,Adams,7500,4291,FY 2003-2004
PA,42,2003,11,November,11/1/2003 0:00,1,1,Adams,7481,4271,FY 2003-2004
PA,42,2003,12,December,12/1/2003 0:00,1,1,Adams,7492,4270,FY 2003-2004
PA,42,2004,1,January,1/1/2004 0:00,1,1,Adams,7645,4365,FY 2003-2004
PA,42,2004,2,February,2/1/2004 0:00,1,1,Adams,7789,4460,FY 2003-2004
PA,42,2004,3,March,3/1/2004 0:00,1,1,Adams,7829,4488,FY 2003-2004
PA,42,2004,4,April,4/1/2004 0:00,1,1,Adams,7863,4509,FY 2003-2004
PA,42,2004,5,May,5/1/2004 0:00,1,1,Adams,8027,4585,FY 2003-2004
PA,42,2004,6,June,6/1/2004 0:00,1,1,Adams,7959,4536,FY 2003-2004
PA,42,2004,7,July,7/1/2004 0:00,1,1,Adams,7946,4522,FY 2004-2005
PA,42,2004,8,August,8/1/2004 0:00,1,1,Adams,8045,4602,FY 2004-2005
PA,42,2004,9,September,9/1/2004 0:00,1,1,Adams,8163,4659,FY 2004-2005
PA,42,2004,10,October,10/1/2004 0:00,1,1,Adams,8205,4678,FY 2004-2005
PA,42,2004,11,November,11/1/2004 0:00,1,1,Adams,8178,4683,FY 2004-2005
PA,42,2004,12,December,12/1/2004 0:00,1,1,Adams,8149,4654,FY 2004-2005
PA,42,2005,1,January,1/1/2005 0:00,1,1,Adams,8221,4698,FY 2004-2005
PA,42,2005,2,February,2/1/2005 0:00,1,1,Adams,8279,4743,FY 2004-2005
PA,42,2005,3,March,3/1/2005 0:00,1,1,Adams,8348,4785,FY 2004-2005
PA,42,2005,4,April,4/1/2005 0:00,1,1,Adams,8497,4876,FY 2004-2005
PA,42,2005,5,May,5/1/2005 0:00,1,1,Adams,8516,4914,FY 2004-2005
PA,42,2005,6,June,6/1/2005 0:00,1,1,Adams,8511,4892,FY 2004-2005
PA,42,2005,7,July,7/1/2005 0:00,1,1,Adams,8510,4901,FY 2005-2006
PA,42,2005,8,August,8/1/2005 0:00,1,1,Adams,8579,4926,FY 2005-2006
PA,42,2005,9,September,9/1/2005 0:00,1,1,Adams,8528,4910,FY 2005-2006
PA,42,2005,10,October,10/1/2005 0:00,1,1,Adams,8535,4904,FY 2005-2006
PA,42,2005,11,November,11/1/2005 0:00,1,1,Adams,8633,4934,FY 2005-2006
PA,42,2005,12,December,12/1/2005 0:00,1,1,Adams,8755,5021,FY 2005-2006
PA,42,2006,1,January,1/1/2006 0:00,1,1,Adams,8740,5010,FY 2005-2006
PA,42,2006,2,February,2/1/2006 0:00,1,1,Adams,8805,5043,FY 2005-2006
PA,42,2006,3,March,3/1/2006 0:00,1,1,Adams,8733,5006,FY 2005-2006
PA,42,2006,4,April,4/1/2006 0:00,1,1,Adams,8845,5106,FY 2005-2006
PA,42,2006,5,May,5/1/2006 0:00,1,1,Adams,8758,5020,FY 2005-2006
PA,42,2006,6,June,6/1/2006 0:00,1,1,Adams,8672,4956,FY 2005-2006
PA,42,2006,7,July,7/1/2006 0:00,1,1,Adams,8636,4937,FY 2006-2007
PA,42,2006,8,August,8/1/2006 0:00,1,1,Adams,8548,4871,FY 2006-2007
PA,42,2006,9,September,9/1/2006 0:00,1,1,Adams,8551,4864,FY 2006-2007
PA,42,2006,10,October,10/1/2006 0:00,1,1,Adams,8580,4862,FY 2006-2007
PA,42,2006,11,November,11/1/2006 0:00,1,1,Adams,8488,4772,FY 2006-2007
PA,42,2006,12,December,12/1/2006 0:00,1,1,Adams,8415,4724,FY 2006-2007
PA,42,2007,1,January,1/1/2007 0:00,1,1,Adams,8333,4659,FY 2006-2007
PA,42,2007,2,February,2/1/2007 0:00,1,1,Adams,8483,4750,FY 2006-2007
PA,42,2007,3,March,3/1/2007 0:00,1,1,Adams,8586,4811,FY 2006-2007
PA,42,2007,4,April,4/1/2007 0:00,1,1,Adams,8531,4768,FY 2006-2007
PA,42,2007,5,May,5/1/2007 0:00,1,1,Adams,8631,4861,FY 2006-2007
PA,42,2007,6,June,6/1/2007 0:00,1,1,Adams,8600,4842,FY 2006-2007
PA,42,2007,7,July,7/1/2007 0:00,1,1,Adams,8650,4884,FY 2007-2008
PA,42,2007,8,August,8/1/2007 0:00,1,1,Adams,8701,4915,FY 2007-2008
PA,42,2007,9,September,9/1/2007 0:00,1,1,Adams,8680,4934,FY 2007-2008
PA,42,2007,10,October,10/1/2007 0:00,1,1,Adams,8710,4936,FY 2007-2008
PA,42,2007,11,November,11/1/2007 0:00,1,1,Adams,8664,4903,FY 2007-2008
PA,42,2007,12,December,12/1/2007 0:00,1,1,Adams,8589,4879,FY 2007-2008
PA,42,2008,1,January,1/1/2008 0:00,1,1,Adams,8629,4858,FY 2007-2008
PA,42,2008,2,February,2/1/2008 0:00,1,1,Adams,8602,4862,FY 2007-2008
PA,42,2008,3,March,3/1/2008 0:00,1,1,Adams,8696,4894,FY 2007-2008
PA,42,2008,4,April,4/1/2008 0:00,1,1,Adams,8729,4923,FY 2007-2008
PA,42,2008,5,May,5/1/2008 0:00,1,1,Adams,8877,5008,FY 2007-2008
PA,42,2008,6,June,6/1/2008 0:00,1,1,Adams,8898,5005,FY 2007-2008
PA,42,2008,7,July,7/1/2008 0:00,1,1,Adams,8948,5021,FY 2008-2009
PA,42,2008,8,August,8/1/2008 0:00,1,1,Adams,9032,5089,FY 2008-2009
PA,42,2008,9,September,9/1/2008 0:00,1,1,Adams,9225,5196,FY 2008-2009
PA,42,2008,10,October,10/1/2008 0:00,1,1,Adams,9305,5244,FY 2008-2009
PA,42,2008,11,November,11/1/2008 0:00,1,1,Adams,9335,5254,FY 2008-2009
PA,42,2008,12,December,12/1/2008 0:00,1,1,Adams,9399,5301,FY 2008-2009
PA,42,2009,1,January,1/1/2009 0:00,1,1,Adams,9453,5321,FY 2008-2009
PA,42,2009,2,February,2/1/2009 0:00,1,1,Adams,9558,5379,FY 2008-2009
PA,42,2009,3,March,3/1/2009 0:00,1,1,Adams,9735,5501,FY 2008-2009
PA,42,2009,4,April,4/1/2009 0:00,1,1,Adams,9786,5561,FY 2008-2009
PA,42,2009,5,May,5/1/2009 0:00,1,1,Adams,9807,5585,FY 2008-2009
PA,42,2009,6,June,6/1/2009 0:00,1,1,Adams,9910,5664,FY 2008-2009
PA,42,2009,7,July,7/1/2009 0:00,1,1,Adams,9983,5704,FY 2009-2010
PA,42,2009,8,August,8/1/2009 0:00,1,1,Adams,10141,5794,FY 2009-2010
PA,42,2009,9,September,9/1/2009 0:00,1,1,Adams,10258,5918,FY 2009-2010
PA,42,2009,10,October,10/1/2009 0:00,1,1,Adams,10370,5981,FY 2009-2010
PA,42,2009,11,November,11/1/2009 0:00,1,1,Adams,10254,5914,FY 2009-2010
PA,42,2009,12,December,12/1/2009 0:00,1,1,Adams,10267,5960,FY 2009-2010
PA,42,2010,1,January,1/1/2010 0:00,1,1,Adams,10333,5982,FY 2009-2010
PA,42,2010,2,February,2/1/2010 0:00,1,1,Adams,10300,5944,FY 2009-2010
PA,42,2010,3,March,3/1/2010 0:00,1,1,Adams,10570,6139,FY 2009-2010
PA,42,2010,4,April,4/1/2010 0:00,1,1,Adams,10449,6050,FY 2009-2010
PA,42,2010,5,May,5/1/2010 0:00,1,1,Adams,10627,6167,FY 2009-2010
PA,42,2010,6,June,6/1/2010 0:00,1,1,Adams,10576,6121,FY 2009-2010
PA,42,2010,7,July,7/1/2010 0:00,1,1,Adams,10710,6173,FY 2010-2011
PA,42,2010,8,August,8/1/2010 0:00,1,1,Adams,10886,6294,FY 2010-2011
PA,42,2010,9,September,9/1/2010 0:00,1,1,Adams,10858,6252,FY 2010-2011
PA,42,2010,10,October,10/1/2010 0:00,1,1,Adams,10990,6334,FY 2010-2011
PA,42,2010,11,November,11/1/2010 0:00,1,1,Adams,10898,6271,FY 2010-2011
PA,42,2010,12,December,12/1/2010 0:00,1,1,Adams,10818,6198,FY 2010-2011
PA,42,2011,1,January,1/1/2011 0:00,1,1,Adams,10826,6190,FY 2010-2011
PA,42,2011,2,February,2/1/2011 0:00,1,1,Adams,10913,6261,FY 2010-2011
PA,42,2011,3,March,3/1/2011 0:00,1,1,Adams,11136,6414,FY 2010-2011
PA,42,2011,4,April,4/1/2011 0:00,1,1,Adams,11297,6461,FY 2010-2011
PA,42,2011,5,May,5/1/2011 0:00,1,1,Adams,11046,6305,FY 2010-2011
PA,42,2011,6,June,6/1/2011 0:00,1,1,Adams,10933,6229,FY 2010-2011
PA,42,2011,7,July,7/1/2011 0:00,1,1,Adams,11038,6283,FY 2011-2012
PA,42,2011,8,August,8/1/2011 0:00,1,1,Adams,11147,6354,FY 2011-2012
PA,42,2011,9,September,9/1/2011 0:00,1,1,Adams,11119,6323,FY 2011-2012
PA,42,2011,10,October,10/1/2011 0:00,1,1,Adams,11034,6337,FY 2011-2012
PA,42,2011,11,November,11/1/2011 0:00,1,1,Adams,10728,6234,FY 2011-2012
PA,42,2011,12,December,12/1/2011 0:00,1,1,Adams,10713,6004,FY 2011-2012
PA,42,2012,1,January,1/1/2012 0:00,1,1,Adams,10782,6029,FY 2011-2012
PA,42,2012,2,February,2/1/2012 0:00,1,1,Adams,10810,6034,FY 2011-2012
PA,42,2012,3,March,3/1/2012 0:00,1,1,Adams,10727,5975,FY 2011-2012
PA,42,2012,4,April,4/1/2012 0:00,1,1,Adams,10704,5959,FY 2011-2012
PA,42,2012,5,May,5/1/2012 0:00,1,1,Adams,10799,6011,FY 2011-2012
PA,42,2012,6,June,6/1/2012 0:00,1,1,Adams,10722,5990,FY 2011-2012
PA,42,2012,7,July,7/1/2012 0:00,1,1,Adams,10696,5978,FY 2012-2013
