County Name,Rate or Count,Type of Drug Class,Type of Rate or Count Measure,Time Measure,Year,Time Period,Quarter Date Start,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
CARBON,207.7868981,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,13,13,42,25,"(40.9193670081, -75.7110703866)"
CENTRE,134.4819898,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,14,14,42,27,"(40.9193135008, -77.8250011212)"
CHESTER,149.3050714,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,15,15,42,29,"(39.9748705566, -75.7562649818)"
CLARION,196.5050762,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,16,16,42,31,"(41.1927912877, -79.4248360769)"
CLEARFIELD,249.6401807,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,17,17,42,33,"(41.0004290024, -78.4755834299)"
CLINTON,272.6786124,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,18,18,42,35,"(41.2328627374, -77.6428376046)"
COLUMBIA,228.229449,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,19,19,42,37,"(41.0491208559, -76.4100217975)"
CRAWFORD,305.146249,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,20,20,42,39,"(41.6854690692, -80.1132108295)"
CUMBERLAND,196.2849992,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,21,21,42,41,"(40.167598388, -77.268662705)"
DAUPHIN,194.9822255,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,22,22,42,43,"(40.4197463597, -76.7796056802)"
DELAWARE,202.1167834,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,23,23,42,45,"(39.9165786652, -75.4062771212)"
ELK,269.3569554,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,24,24,42,47,"(41.4281941606, -78.6494771322)"
ERIE,257.7052718,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,25,25,42,49,"(41.9941378702, -80.0407591036)"
FAYETTE,316.545245,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,26,26,42,51,"(39.919447803, -79.6518963464)"
FOREST,109.8210627,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,27,27,42,53,"(41.5135787577, -79.2378099483)"
FRANKLIN,194.5843706,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,28,28,42,55,"(39.9278619704, -77.7239884483)"
FULTON,218.989071,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,29,29,42,57,"(39.9248751086, -78.1148504535)"
GREENE,249.5900207,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,30,30,42,59,"(39.8548039342, -80.2294381655)"
HUNTINGDON,157.6894421,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,31,31,42,61,"(40.4161050032, -77.9827661036)"
INDIANA,290.769302,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,32,32,42,63,"(40.6529549748, -79.0933349286)"
JEFFERSON,294.3752411,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,33,33,42,65,"(41.1313909115, -79.0010181419)"
JUNIATA,145.1554519,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,34,34,42,67,"(40.5343300836, -77.405775001)"
LACKAWANNA,362.7987753,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,35,35,42,69,"(41.4391006428, -75.6121834524)"
LANCASTER,161.5524605,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,36,36,42,71,"(40.0459079619, -76.2513876838)"
LAWRENCE,252.6405022,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,37,37,42,73,"(40.9932503514, -80.3375411446)"
LEBANON,209.458243,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,38,38,42,75,"(40.3675970024, -76.4618257486)"
LEHIGH,223.0474161,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,39,39,42,77,"(40.6146479416, -75.6009948118)"
LUZERNE,274.7176681,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,40,40,42,79,"(41.1783643884, -75.991996098)"
LYCOMING,268.126128,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,41,41,42,81,"(41.3445979226, -77.069424568)"
MCKEAN,238.0918272,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,42,42,42,83,"(41.810370736, -78.5712201998)"
MERCER,311.9569934,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,43,43,42,85,"(41.302377765, -80.2600941079)"
MIFFLIN,253.2907514,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,44,44,42,87,"(40.6127492804, -77.6200308901)"
MONROE,196.8657058,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,45,45,42,89,"(41.0609178653, -75.3408360302)"
MONTGOMERY,196.8432261,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,46,46,42,91,"(40.209898739, -75.3725200072)"
MONTOUR,380.5811481,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,47,47,42,93,"(41.0280182438, -76.6647052668)"
NORTHAMPTON,184.9954018,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,48,48,42,95,"(40.754595404, -75.3126372576)"
NORTHUMBERLAND,249.8244022,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,49,49,42,97,"(40.8515092572, -76.7118842273)"
PENNSYLVANIA,221.339546,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,0,0,42,0,"(39.346129, -75.167756)"
PERRY,139.8515932,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,50,50,42,99,"(40.4041531744, -77.2590738496)"
PHILADELPHIA,191.9595477,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,51,51,42,101,"(40.0044435384, -75.140236002)"
PIKE,163.6190202,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,52,52,42,103,"(41.332571995, -75.0327092448)"
POTTER,148.8895469,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,53,53,42,105,"(41.7442064382, -77.8987922939)"
SCHUYLKILL,228.7616752,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,54,54,42,107,"(40.707512431, -76.223323851)"
SNYDER,161.8068597,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,55,55,42,109,"(40.7711373692, -77.0725596804)"
SOMERSET,197.279546,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,56,56,42,111,"(39.9714629901, -79.0310020611)"
SULLIVAN,104.1225354,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,57,57,42,113,"(41.4480993958, -76.5147922046)"
SUSQUEHANNA,151.656796,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,58,58,42,115,"(41.8205685982, -75.8025030296)"
TIOGA,193.9132322,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,59,59,42,117,"(41.7733383358, -77.2578807579)"
UNION,156.7870076,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,60,60,42,119,"(40.9647313096, -77.0641580308)"
VENANGO,232.0185615,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,61,61,42,121,"(41.4034125863, -79.7628656104)"
WARREN,208.0949407,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,62,62,42,123,"(41.8167523652, -79.278581578)"
WASHINGTON,250.0805362,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,63,63,42,125,"(40.1910966345, -80.2518008276)"
WAYNE,209.4853086,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,64,64,42,127,"(41.6496980525, -75.3051535022)"
WESTMORELAND,294.3245053,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,65,65,42,129,"(40.3103149985, -79.471341176)"
WYOMING,206.8602158,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,66,66,42,131,"(41.5189248803, -76.0181300338)"
YORK,169.6563785,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,67,67,42,133,"(39.9219253124, -76.7257605231)"
ADAMS,131.3564298,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,1,1,42,1,"(39.8720956503, -77.2222427076)"
ALLEGHENY,266.7156317,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,2,2,42,3,"(40.4673554298, -79.9861984282)"
ARMSTRONG,194.5973588,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,3,3,42,5,"(40.8150952555, -79.4731689893)"
BEAVER,241.0872668,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,4,4,42,7,"(40.6834924548, -80.3510735648)"
BEDFORD,158.7790998,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,5,5,42,9,"(40.0073753643, -78.4911647381)"
BERKS,153.8431868,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,6,6,42,11,"(40.4193963513, -75.9307732705)"
BLAIR,326.4981949,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,7,7,42,13,"(40.4855502384, -78.349076871)"
BRADFORD,212.0947836,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,8,8,42,15,"(41.7911781401, -76.5182562384)"
BUCKS,172.2288829,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,9,9,42,17,"(40.335011331, -75.1129124111)"
BUTLER,220.3781704,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,10,10,42,19,"(40.9108318483, -79.9171177889)"
CAMBRIA,269.7800077,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,11,11,42,21,"(40.4912749067, -78.7189417385)"
CAMERON,240.3249947,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,12,12,42,23,"(41.4388026531, -78.2091693241)"
CARBON,190.4110451,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,13,13,42,25,"(40.9193670081, -75.7110703866)"
CENTRE,121.463608,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,14,14,42,27,"(40.9193135008, -77.8250011212)"
CHESTER,138.5286416,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,15,15,42,29,"(39.9748705566, -75.7562649818)"
CLARION,175.5770779,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,16,16,42,31,"(41.1927912877, -79.4248360769)"
CLEARFIELD,227.6912006,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,17,17,42,33,"(41.0004290024, -78.4755834299)"
CLINTON,220.6560803,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,18,18,42,35,"(41.2328627374, -77.6428376046)"
COLUMBIA,217.931346,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,19,19,42,37,"(41.0491208559, -76.4100217975)"
CRAWFORD,282.5162016,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,20,20,42,39,"(41.6854690692, -80.1132108295)"
CUMBERLAND,186.3536494,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,21,21,42,41,"(40.167598388, -77.268662705)"
DAUPHIN,186.5388901,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,22,22,42,43,"(40.4197463597, -76.7796056802)"
DELAWARE,184.099453,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,23,23,42,45,"(39.9165786652, -75.4062771212)"
ELK,225.5249344,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,24,24,42,47,"(41.4281941606, -78.6494771322)"
ERIE,234.6573403,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,25,25,42,49,"(41.9941378702, -80.0407591036)"
FAYETTE,272.7731612,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,26,26,42,51,"(39.919447803, -79.6518963464)"
FOREST,109.6844693,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,27,27,42,53,"(41.5135787577, -79.2378099483)"
FRANKLIN,176.0079557,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,28,28,42,55,"(39.9278619704, -77.7239884483)"
FULTON,192.2814208,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,29,29,42,57,"(39.9248751086, -78.1148504535)"
GREENE,211.2267118,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,30,30,42,59,"(39.8548039342, -80.2294381655)"
HUNTINGDON,146.0533813,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,31,31,42,61,"(40.4161050032, -77.9827661036)"
INDIANA,260.4789032,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,32,32,42,63,"(40.6529549748, -79.0933349286)"
JEFFERSON,269.6208563,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,33,33,42,65,"(41.1313909115, -79.0010181419)"
JUNIATA,130.8369867,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,34,34,42,67,"(40.5343300836, -77.405775001)"
LACKAWANNA,292.3987678,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,35,35,42,69,"(41.4391006428, -75.6121834524)"
LANCASTER,154.4141133,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,36,36,42,71,"(40.0459079619, -76.2513876838)"
LAWRENCE,226.0980136,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,37,37,42,73,"(40.9932503514, -80.3375411446)"
LEBANON,201.8896322,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,38,38,42,75,"(40.3675970024, -76.4618257486)"
LEHIGH,215.8657513,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,39,39,42,77,"(40.6146479416, -75.6009948118)"
LUZERNE,243.783642,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,40,40,42,79,"(41.1783643884, -75.991996098)"
LYCOMING,245.4446064,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,41,41,42,81,"(41.3445979226, -77.069424568)"
MCKEAN,224.0049662,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,42,42,42,83,"(41.810370736, -78.5712201998)"
MERCER,291.0825149,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,43,43,42,85,"(41.302377765, -80.2600941079)"
MIFFLIN,216.3695999,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,44,44,42,87,"(40.6127492804, -77.6200308901)"
MONROE,183.018459,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,45,45,42,89,"(41.0609178653, -75.3408360302)"
MONTGOMERY,183.1233077,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,46,46,42,91,"(40.209898739, -75.3725200072)"
MONTOUR,358.8834978,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,47,47,42,93,"(41.0280182438, -76.6647052668)"
NORTHAMPTON,176.1331684,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,48,48,42,95,"(40.754595404, -75.3126372576)"
NORTHUMBERLAND,228.8391092,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,49,49,42,97,"(40.8515092572, -76.7118842273)"
PENNSYLVANIA,201.1203337,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,0,0,42,0,"(39.346129, -75.167756)"
PERRY,129.6377128,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,50,50,42,99,"(40.4041531744, -77.2590738496)"
PHILADELPHIA,179.2748388,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,51,51,42,101,"(40.0044435384, -75.140236002)"
PIKE,148.2308052,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,52,52,42,103,"(41.332571995, -75.0327092448)"
POTTER,147.4089428,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,53,53,42,105,"(41.7442064382, -77.8987922939)"
SCHUYLKILL,213.8354705,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,54,54,42,107,"(40.707512431, -76.223323851)"
SNYDER,153.528714,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,55,55,42,109,"(40.7711373692, -77.0725596804)"
SOMERSET,181.6256112,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,56,56,42,111,"(39.9714629901, -79.0310020611)"
SULLIVAN,103.4707512,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,57,57,42,113,"(41.4480993958, -76.5147922046)"
SUSQUEHANNA,143.7276687,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,58,58,42,115,"(41.8205685982, -75.8025030296)"
TIOGA,180.9149444,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,59,59,42,117,"(41.7733383358, -77.2578807579)"
UNION,150.7077801,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,60,60,42,119,"(40.9647313096, -77.0641580308)"
VENANGO,211.2890343,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,61,61,42,121,"(41.4034125863, -79.7628656104)"
WARREN,189.7314179,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,62,62,42,123,"(41.8167523652, -79.278581578)"
WASHINGTON,203.6676427,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,63,63,42,125,"(40.1910966345, -80.2518008276)"
WAYNE,192.9008085,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,64,64,42,127,"(41.6496980525, -75.3051535022)"
WESTMORELAND,256.1849783,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,65,65,42,129,"(40.3103149985, -79.471341176)"
WYOMING,202.8269322,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,66,66,42,131,"(41.5189248803, -76.0181300338)"
YORK,159.9593459,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,67,67,42,133,"(39.9219253124, -76.7257605231)"
ADAMS,136.3476218,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/1/2016,1,1,42,1,"(39.8720956503, -77.2222427076)"
ALLEGHENY,270.7829912,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/1/2016,2,2,42,3,"(40.4673554298, -79.9861984282)"
ARMSTRONG,232.0187709,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/1/2016,3,3,42,5,"(40.8150952555, -79.4731689893)"
BEAVER,259.7578675,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/1/2016,4,4,42,7,"(40.6834924548, -80.3510735648)"
BEDFORD,163.2074496,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/1/2016,5,5,42,9,"(40.0073753643, -78.4911647381)"
BERKS,158.5441115,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/1/2016,6,6,42,11,"(40.4193963513, -75.9307732705)"
